Site_plot,Site,Plot,Acacia_bslar,Eucalyptus_bslar,Pine_bslar,Tot_bas_ar,Lat.deci..N.,Long.Deci..E.,Canopy,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,Meliaceae,Clitoria ternetea,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,Pteridium aquilinum,Fire,Foliage_density,TCI_2x2,Elevation,Slope,TRI,shlbfr5ha,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_5ha,TPI,Type1,Agerat_Eupat
BGE887_1,BGE887,1,0,3.237211542,0,3.237211542,10.1445655,77.1994911,70.8,0,0,0,1,0,0,20,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,12,11.40742016,1673,23.54434967,32.64965439,0,-0.458404648,-0.888743595,-0.587786674,17.04999924,113,2071.6,24.35,10.05,54.8,25.9,331.7,4,0,424,2.75,Eucalyptus,22
BGE887_2,BGE887,2,0,0.537601525,0,0.537601525,10.144588,77.1991653,64.6,0,0,1,3,0,0,25,0,5,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,6,11.1675806,1671,19.58103943,26.05762863,0,-0.933938619,-0.357433429,-1.280933857,17.04999924,113,2071.6,24.35,10.05,54.8,25.9,331.7,5,0,343,0.875,Eucalyptus,30
BGF1022_1,BGF1022,1,0.323442633,0,0,0.323442633,10.142873,77.3224571,66.6,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7.365439415,2198,26.31490898,38.22303009,0,-0.77763009,-0.628722072,-0.182321563,13.64999962,118,1721.6,20.65,6.15,54.1,24.4,332.3,4,0,0,4.625,Acacia,10
BGF1022_2,BGF1022,2,0.27255284,0,0,0.27255284,10.1423345,77.3223686,35.6,5,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,-11.20962906,2176,12.98245811,22.24859619,0,-0.834772707,-0.550594704,0.328504086,13.64999962,118,1721.6,20.65,6.15,54.1,24.4,332.3,2,0,0,-2.125,Acacia,90
BGI890_1,BGI890,1,0,0.124705856,0,0.124705856,10.140593,77.201692,74.4,0,0,8,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54.99927521,1728,6.623408318,19.57038498,26765,-0.989949508,-0.141421253,-1.280933857,16.95000076,116.4,2038.4,24.25,9.85,54.7,25.8,330.9,10,10.1948877,184,5.625,Eucalyptus,49
BGI916_1,BGI916,1,0,0.17990079,0,0.17990079,10.1406809,77.2256141,58,0,0,5,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,11,26.29039383,1832,8.953972816,13.85640621,8585,0.595846891,-0.803098053,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,6,9.057888249,0,2.25,Eucalyptus,9
BGI916_2,BGI916,2,0,0.187134382,0,0.187134382,10.1403404,77.2253881,62.6,0,0,3,0,0,0,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,13,28.08762741,1827,12.91501999,18.30300522,12051,-0.284088374,-0.9587981,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,6,9.3969859,0,2.375,Eucalyptus,19
BGI916_3,BGI916,3,0,0.087208951,0,0.087208951,10.1401284,77.2263005,45.2,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.43878365,1804,13.95580292,19.46792221,0,0.991227902,-0.132163707,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,5,0,0,0.375,Eucalyptus,16
BGI916_5,BGI916,5,0,0.150870928,0,0.150870928,10.1410554,77.2262902,61.8,0,0,6,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,12,17.16481781,1813,19.67760277,34.4528656,0,0.905596543,0.424140191,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7,0,0,6.125,Eucalyptus,6
BGI916_6,BGI916,6,0,0.116374094,0,0.116374094,10.139978,77.2249388,61.6,0,0,5,0,0,0,30,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,13,-6.753328323,1818,16.47808838,26.64582443,16937,-0.942990344,-0.332820088,-0.587786674,16.14999962,116.6,1924.7,23.85,9.45,54.3,25,324.3,5,9.737314897,0,3.75,Eucalyptus,30
BGI916_7,BGI916,7,0,0.135369237,0,0.135369237,10.1404983,77.2250059,63,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,19,10.06246471,1825,22.88285255,34.04409027,21949,-0.972387326,-0.233372854,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7,9.996522419,0,3.625,Eucalyptus,0
BGI916_8,BGI916,8,0,0.084192965,0,0.084192965,10.1410662,77.2249545,36.8,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,6,3.697415829,1822,24.27043152,36.37306595,26162,-0.890761925,0.454470233,-0.587786674,16.14999962,116.6,1924.7,23.85,9.45,54.3,25,324.3,5,10.17210148,0,4.125,Eucalyptus,1
BGK892_1,BGK892,1,0,0.097052684,0,0.097052684,10.1392428,77.2038466,68.2,0,0,4,0,0,0,37,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,25,0,18,3.417387247,1671,18.2413044,26.07680893,0,-0.719401217,0.694594766,-0.182321563,16.95000076,116.4,2038.4,24.25,9.85,54.7,25.8,330.9,5,0,247,1,Eucalyptus,43
BGL711_2,BGL711,2,0,0.100188037,0,0.100188037,10.1389675,77.0393885,60.8,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,19.01356888,1536,12.33851433,18,44034,-0.447213549,-0.894427214,-1.280933857,17.75,103.3,3409.5,25.45,11.25,61.6,34.2,420.5,4,10.69274005,240,1.75,Eucalyptus,19
BGS746_1,BGS746,1,0,0.01529479,0,0.01529479,10.1322662,77.0704758,74.6,0,0,3,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0.812843144,1700,24.14198875,36.27671432,20419,-0.054464508,-0.998515707,-0.182321563,17.25,104.9,3010.6,24.95,10.65,59.2,32.7,403.7,2,9.924270092,0,-4.75,Eucalyptus,12
