,Site_plot,Lat.deci..N.,Long.Deci..E.,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,UID1,Meliaceae,Clitoria ternetea,Berberis tinctoria,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,sp124858,Vincetoxicum sp,Sp12254,Sp120529,sp110222,sp105132,sp122024,sp124847,sp113255,pilea wightii,sp101440,Pteridium aquilinum,No_pic,Site,Tot_bas_ar,Canopy,Fire,TCI_2x2,Slope,TRI,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Ln_elevation,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_1ha,TPI,Type2,Moss,Elevation
115,BGA971_8,10.1489908,77.2759813,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,BGA971,0.212702624,87.8,0,3.822230577,22.18195152,30.41381264,0.369667278,-0.929164196,-0.182321563,13.64999962,115.8,1753.5,20.65,6.35,54.1,23.5,313.3,7.784889296,6,0,0,0.875,Acacia,10,2404
116,BGC1074_1,10.14417,77.37028,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,0.977911632,69.6,0.8,-21.86885262,5.350893974,11.18033981,0.043437267,0.999056157,-1.280933857,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.689828669,18,0,0,-1.125,Mixed,11.11111111,2186
117,BGC1074_2,10.14472,77.37028,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BGC1074,0.531283073,70.2,0.8,-11.99529362,14.64692783,19.20937347,0.766936774,-0.64172267,-0.182321563,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.690743164,12,0,0,0.625,Acacia-Eucalyptus,11.66666667,2188
118,BGC1074_3,10.14528,77.37028,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,1.179234677,75,0.8,1.603501201,12.78599358,17.52141571,0.358978999,-0.933345637,-1.280933857,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.695757991,18,0,0,-0.375,Acacia-Eucalyptus,12.22222222,2199
119,BGC1074_4,10.14528,77.36889,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,0.436617713,73.6,1,-12.10050392,14.50285435,19.97498512,-0.87115215,-0.491013169,-0.587786674,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.694848072,7,0,0,0.625,Acacia-Eucalyptus,10,2197
120,BGC1074_5,10.14417,77.36917,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,BGC1074,0.580796176,68.8,1,25.49098015,9.222583771,15.93737698,-0.755689086,-0.654930534,-1.280933857,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.6989362,9,5.857933154,0,3,Mixed,10,2206
121,BGC1074_6,10.145,77.36889,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,0.466188702,75.4,1,-15.32192707,16.52310753,22.86919403,-0.996545759,-0.083045475,0.328504086,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.693025748,10,0,0,-1.375,Acacia-Eucalyptus,10,2193
122,BGC1074_7,10.14528,77.36972,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,0.408980457,77,1,32.99573135,7.498343468,13.52774906,0.371390634,-0.928476708,-1.280933857,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.699389406,8,0,0,2.375,Acacia-Eucalyptus,10,2207
123,BGC1074_8,10.14472,77.36972,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGC1074,0.493141591,70.8,0.8,23.36522102,14.72420311,28.16025543,1,6.12E-17,-1.280933857,14.25,122.7,1681.6,21.25,6.55,55.1,24.1,338.8,7.699842407,7,0,0,6.375,Mixed,12.85714286,2208
124,BGC867_1,10.1465165,77.1807951,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BGC867,0.411606514,67.8,0,-10.10906696,16.139328,23.40939903,-0.663487249,-0.74818759,1.021651268,17.85000038,112,2121.4,25.15,10.95,55.2,26.1,330.3,7.347299701,6,0,0,-3.25,Eucalyptus,10,1552
